EER90453	GO:0005739	GO:0098542	GO:0046658	GO:0009506	GO:0003674																																															
EER93047	GO:0005096	GO:0005739	GO:0090630																																																	
OQU90570	GO:0005739	GO:0042626	GO:0140359	GO:0000302	GO:0005886	GO:0042908																																														
EER90454	GO:0009407	GO:0006749	GO:0004364	GO:0005737	GO:0009536	GO:0005777																																														
EER93049	GO:0003674	GO:1901701	GO:0005737	GO:0009536	GO:0009941																																															
EER93051	GO:0005739	GO:0009451	GO:0003723	GO:0043231	GO:0008270																																															
EER90457	GO:0003674	GO:0009507	GO:0009416																																																	
OQU90580	GO:0003674	GO:0005634	GO:0005886	GO:0040007	GO:0010629	GO:0008104	GO:0010243	GO:0048507																																												
KXG37070	GO:0006974	GO:0009909	GO:0071217	GO:0009944	GO:1902066	GO:2000024	GO:0010044	GO:0009793	GO:0048359	GO:0005515	GO:0009620	GO:0005634	GO:0006979	GO:0009733	GO:0045893	GO:0048358	GO:0045892	GO:0009617	GO:0047484	GO:0001666	GO:0009414	GO:0006355	GO:0010272	GO:0080001	GO:0045995	GO:1901001	GO:0046898	GO:0009908	GO:0009827	GO:0010192	GO:1902183	GO:0003714	GO:0010393	GO:1902074	GO:0009624	GO:0009611	GO:0003713	GO:0010073														
KXG37075	GO:0005515	GO:0071482	GO:0090351	GO:0016987	GO:0071483	GO:0006352	GO:0045893	GO:0009536	GO:0009507																																											
OQU90588	GO:0005886	GO:0042626																																																		
OQU90587	GO:0009910	GO:0005634	GO:0005730	GO:0005886	GO:0008270																																															
EER90468	GO:0003729	GO:0010150	GO:0005634	GO:0009507	GO:0003723																																															
EER90469	GO:0009414	GO:0006970	GO:0005783	GO:0016746	GO:0016298	GO:0005576																																														
EER90470	GO:0022857	GO:1902456	GO:1990961	GO:0071244	GO:0005515	GO:0005886	GO:0016020	GO:0015297	GO:0042910																																											
KXG37080	GO:0008270	GO:0005515	GO:0031425	GO:0009507	GO:0005739																																															
KXG37081	GO:0048589	GO:0005739	GO:0010015	GO:0045927	GO:0009639	GO:0009888																																														
EER90473	GO:0005783	GO:0005829	GO:0005737																																																	
EER93057	GO:0030597	GO:0005777	GO:0004730	GO:0009507																																																
EER90476	GO:0006611	GO:0005049	GO:0009860	GO:0000056	GO:0009555	GO:0009846	GO:0005634	GO:0005515	GO:0009408	GO:0000055	GO:0005737	GO:0009553	GO:0031267																																							
EER93059	GO:0016799	GO:0005634	GO:0005829	GO:0009691																																																
EER90477	GO:0015994	GO:0005634																																																		
EER90478	GO:0003674	GO:0005634	GO:0006464																																																	
EER93060	GO:0044281	GO:0048522	GO:0003674	GO:0005575	GO:1901135																																															
EER90479	GO:0005634	GO:0009638	GO:0005737	GO:0016567	GO:0005777	GO:0009904																																														
KXG37083	GO:0005634	GO:0008150	GO:0016787	GO:0005829																																																
EER93061	GO:0005886	GO:0031965	GO:0009651	GO:0005783	GO:0097001	GO:0009958	GO:0045892	GO:0009414	GO:0043565	GO:0008289	GO:0005515																																									
KXG37084	GO:0009535	GO:0005739	GO:0009507	GO:0009534	GO:0009773	GO:0005515	GO:0009579	GO:0005829	GO:0016730	GO:0042802	GO:0015979																																									
EER90481	GO:0009686	GO:0009826	GO:0045544	GO:0005737	GO:0051213	GO:0009908	GO:0009416																																													
EER93063	GO:0044238	GO:0043022	GO:0009534	GO:0022627	GO:0003729	GO:0009507	GO:0045900	GO:0009570	GO:0009416	GO:0043024	GO:0009536																																									
EER93064	GO:0005515	GO:0019887	GO:0042149	GO:0019901	GO:0005634	GO:0031588	GO:0006468	GO:1901982	GO:0045859	GO:0050790	GO:0000266	GO:0009569	GO:0016208	GO:0005737	GO:0019900	GO:0009859	GO:0030295	GO:2000377	GO:0009507	GO:0046777	GO:0004674	GO:0016559																														
EER90483	GO:0009507	GO:0006633	GO:0000036																																																	
KXG37088	GO:0006303	GO:0005515	GO:0043564	GO:0000723	GO:0003690	GO:0009408	GO:0071481	GO:0003678	GO:0005634	GO:0003684	GO:0006302	GO:0071480	GO:0042162	GO:0006281	GO:0015074																																					
EER90485	GO:0009507	GO:0006890	GO:1901565	GO:0030126	GO:0006886	GO:0005515	GO:0006891																																													
EER93066	GO:1901259	GO:0033902	GO:0003729	GO:0004530	GO:0005515	GO:0042254	GO:0009507	GO:0042134																																												
KXG37089	GO:0010150	GO:0016682	GO:0005737																																																	
KXG37090	GO:0010150	GO:0016682	GO:0005737																																																	
EER93070	GO:0031359	GO:0009941	GO:0034426	GO:0046930	GO:0009536	GO:0015288	GO:0009507	GO:0022843	GO:0034765																																											
KXG37091	GO:0006355	GO:0010015	GO:1905393	GO:0003700	GO:0048878	GO:0005634	GO:0009908	GO:0000976	GO:0009892	GO:0030154	GO:0090558																																									
EER90487	GO:0009793	GO:0042742	GO:0005634	GO:0010102	GO:0009723	GO:0000303	GO:0009867	GO:0006979	GO:0005515	GO:0009414	GO:0009873	GO:0006809	GO:0010193	GO:0005737	GO:0006970	GO:2000377	GO:0012501	GO:0009651	GO:0003950																																	
EER90488	GO:0010411	GO:0016762	GO:0005576	GO:0010087	GO:0042546	GO:0004553	GO:0030247																																													
EER90489	GO:1901605	GO:0016791	GO:0004674	GO:0009507	GO:0010035	GO:0006468	GO:0009536	GO:0008967																																												
EER93074	GO:0005634	GO:0006357	GO:0034605	GO:0003700	GO:0009408	GO:0000978	GO:0005515	GO:0003677																																												
KXG37098	GO:0000741	GO:0005777	GO:0006396	GO:0000325	GO:0004525	GO:0010468	GO:0010197	GO:0003725	GO:0005634	GO:0009507																																										
EER93075	GO:0008150	GO:0005737	GO:0003674																																																	
EER90492	GO:0071051	GO:0000177	GO:0034475	GO:0005737	GO:0000176	GO:0016075	GO:0071028	GO:0005730	GO:0034427	GO:0003674																																										
EER90493	GO:0048205	GO:0044087	GO:0048522	GO:0019752	GO:0065003	GO:0005634	GO:0065008	GO:0009834																																												
KXG37099	GO:0005829	GO:0061929	GO:0008150																																																	
EER93077	GO:0000462	GO:0005730	GO:0005515	GO:0032040	GO:0016567	GO:0080008	GO:0005634																																													
EER90494	GO:0009507	GO:0005730	GO:0005634																																																	
EER93078	GO:0003674	GO:0005739	GO:0032592	GO:0033615																																																
KXG37101	GO:0030371	GO:0045892	GO:0042023	GO:0000398	GO:0005634	GO:0003677																																														
EER90497	GO:0008150	GO:0005634	GO:0003674																																																	
OQU90602	GO:0010088	GO:0009733	GO:0005634	GO:0009888	GO:0003674																																															
EER90498	GO:0005515	GO:0004521	GO:0006378	GO:0005634	GO:0006398	GO:0003723	GO:0016180	GO:0008409	GO:0005847																																											
EER93080	GO:0005886	GO:0009395	GO:0034480	GO:0004629	GO:0052713																																															
OQU90603	GO:0009507	GO:0003674	GO:0008150																																																	
EER90499	GO:0005575	GO:0008150	GO:0003729																																																	
KXG37105	GO:0000839	GO:0051787	GO:0030433	GO:0030176	GO:1990381	GO:0030968																																														
KXG37106	GO:0009451	GO:0009507	GO:0003723	GO:0043231																																																
EER90503	GO:0050832	GO:0005634	GO:0003674	GO:0019748																																																
EER90502	GO:0005739	GO:0043436	GO:0009637	GO:0005737	GO:0071482	GO:0016887	GO:0006790	GO:0042440	GO:0009812	GO:0009507	GO:0019748																																									
EER90505	GO:0005634	GO:0000775	GO:0046982	GO:0003677	GO:0003682	GO:0000792	GO:0070828																																													
KXG37109	GO:1904350	GO:0010941	GO:0034976	GO:0003674																																																
KXG37110	GO:0015940	GO:0004592	GO:0009793	GO:0042803	GO:0005737	GO:0005829																																														
KXG37111	GO:0048316	GO:0009790	GO:0005739																																																	
EER93086	GO:0006457	GO:0005737	GO:0005515	GO:0070417	GO:0005634	GO:0045036	GO:0051861	GO:0030941	GO:0031359	GO:0010228	GO:0009507	GO:0042742	GO:0009791	GO:0009707	GO:0005886																																					
OQU90606	GO:0005575	GO:0008150	GO:0003674																																																	
KXG37112	GO:0008150	GO:0003674	GO:0005634																																																	
EER93088	GO:0009507	GO:0003674	GO:0000724	GO:0009536																																																
EER93090	GO:0005654	GO:0005634	GO:0005730	GO:0015030	GO:0005737	GO:0000398	GO:0030620																																													
EER90506	GO:0000502	GO:0005634	GO:0009793	GO:0008541	GO:0005886	GO:0005737	GO:0006511	GO:0003674	GO:0009506	GO:0031595	GO:0007275																																									
EER90507	GO:0009507	GO:0008150	GO:0005829	GO:0003674	GO:0005737																																															
EER93091	GO:0009507	GO:0097573	GO:0009570	GO:0009941	GO:0005759	GO:0006812	GO:0015297																																													
EER90508	GO:0070125	GO:0046686	GO:0009505	GO:0005739	GO:0009507	GO:0006414	GO:0003924	GO:0008270	GO:0003746	GO:0050897	GO:0005829	GO:0005524																																								
EER93092	GO:0005829	GO:0042788	GO:0003729	GO:0005634	GO:0005854	GO:0005515																																														
EER90510	GO:0000325	GO:0009507	GO:0016757	GO:0099503	GO:0008150																																															
OQU90608	GO:0006631	GO:1905392	GO:0005634	GO:0003674	GO:0090558																																															
KXG37115	GO:0044248	GO:0003674	GO:0009057	GO:0009637	GO:0009507	GO:0009409	GO:0006996																																													
EER93093	GO:0008652	GO:0009089	GO:0009088	GO:0004072	GO:0009570	GO:0009507	GO:0009090																																													
EER90512	GO:0003674	GO:0009416	GO:0005737																																																	
EER93094	GO:0031347	GO:0002237	GO:0009651	GO:0050832	GO:0009414	GO:0009737	GO:0042742	GO:0010243	GO:0010150	GO:0002682	GO:0005506	GO:0016705	GO:0071446	GO:0005829	GO:0020037	GO:0007165	GO:0009507																																			
OQU90609	GO:0005777	GO:0006568	GO:0009851	GO:0005739	GO:0010035																																															
EER93095	GO:0005506	GO:0007165	GO:0042742	GO:0016053	GO:0002376	GO:0050832	GO:0020037	GO:1901605	GO:0009507	GO:0009416	GO:0016705																																									
EER93097	GO:0016709	GO:0042742	GO:0010120	GO:0009414	GO:0009684	GO:0009507	GO:0009682	GO:0006569	GO:0052544	GO:0009617	GO:0009625	GO:0005506	GO:0006952	GO:0016705	GO:0002229	GO:0016020	GO:0020037																																			
EER90516	GO:0016757	GO:0080044	GO:0080043	GO:0015020																																																
KXG37119	GO:0005737	GO:0005507	GO:0009414	GO:0009507	GO:0043295	GO:0009407	GO:0005739	GO:0006979	GO:0004364	GO:0005576	GO:0046686	GO:0005829	GO:0050897	GO:0006749	GO:2001227	GO:0009505	GO:0000325	GO:2001147	GO:0009506																																	
KXG37121	GO:0044255	GO:0031347	GO:0042742	GO:0016020	GO:0007568	GO:0019748	GO:0045087	GO:0042910	GO:0044283	GO:1990961	GO:0006511	GO:0009507	GO:0009416	GO:0006979	GO:0002376	GO:0022857	GO:0015297	GO:0050832	GO:0009753	GO:0009636	GO:0005773	GO:0010035	GO:0000325																													
EER93098	GO:0009507	GO:0001666	GO:0003674																																																	
OQU90611	GO:0009507	GO:0005737	GO:0003674	GO:0008150																																																
OQU90613	GO:0007030	GO:0042803	GO:0000325	GO:0005515	GO:0006891	GO:0031410	GO:0005794	GO:0017119																																												
KXG37123	GO:0006468	GO:0009626	GO:0019897	GO:0016020	GO:0002237	GO:0034051	GO:0005515	GO:0005886	GO:0042742	GO:0005829	GO:0005634	GO:0006955																																								
EER90518	GO:0009507	GO:0070973	GO:0005789	GO:0003674	GO:0006888																																															
EER93100	GO:0005515	GO:0000902	GO:0007015	GO:0030041	GO:0005737	GO:0045010	GO:0005885	GO:0030833	GO:0034314	GO:0051015																																										
EER93101	GO:0005634	GO:0008150	GO:0008270																																																	
KXG37125	GO:0045132	GO:0051315	GO:0007052	GO:0005634	GO:0051383	GO:0000325	GO:0044877	GO:0000070	GO:0005828	GO:0010342	GO:0005886	GO:0031262																																								
EER93104	GO:0006351	GO:0000418	GO:0005736	GO:0000419	GO:0005665	GO:0005634	GO:0005666																																													
EER93103	GO:0005576	GO:0046872	GO:0009845	GO:0003993	GO:0009846																																															
KXG37131	GO:0004672	GO:0005634	GO:0004674	GO:0005524	GO:0006468	GO:0005737	GO:0004693	GO:0035556																																												
EER90523	GO:0006351	GO:0000418	GO:0005736	GO:0000419	GO:0005665	GO:0005634	GO:0005666																																													
EER90524	GO:0009506	GO:0005975	GO:0042973	GO:0048532	GO:0046658	GO:0010374	GO:0009832	GO:0019752																																												
EER90525	GO:0005634	GO:0072546	GO:0005794	GO:0005783	GO:0005829																																															
KXG37146	GO:0009941	GO:0006633	GO:0003674	GO:0009507																																																
KXG37149	GO:0005634	GO:0005515	GO:0030414	GO:0042742	GO:0005829																																															
EER90528	GO:0009737	GO:0009570	GO:0009507	GO:0034337	GO:0000481	GO:0032508	GO:0005634	GO:0003729																																												
EER90530	GO:0005739	GO:0048316	GO:0003746	GO:0070125	GO:0005524	GO:0009507	GO:0005737	GO:0003924																																												
KXG37151	GO:0032977	GO:0009579	GO:0009535	GO:0005515	GO:0009507	GO:0009658	GO:0010027	GO:0072598	GO:0051205																																											
EER90532	GO:0008126	GO:0006631	GO:0009507																																																	
EER93109	GO:0005737	GO:0005634	GO:0005515	GO:0000159	GO:0019888	GO:0005730	GO:0005829																																													
EER93111	GO:0005737	GO:0009225	GO:0004649	GO:0009414	GO:0006282	GO:0031056	GO:0050832	GO:0005634	GO:0006970	GO:0006979	GO:0090332	GO:0006974	GO:0005975	GO:1990966																																						
OQU90639	GO:0008270	GO:0005739	GO:0008150																																																	
OQU90640	GO:0008270	GO:0005739	GO:0008150																																																	
EER90535	GO:0045132	GO:0051315	GO:0007052	GO:0005634	GO:0051383	GO:0000325	GO:0044877	GO:0000070	GO:0005828	GO:0010342	GO:0005886	GO:0031262																																								
EER90536	GO:0022625	GO:0005773	GO:0003735	GO:0002181	GO:0005634	GO:0009506	GO:0000325	GO:0009507	GO:0003729																																											
EER90537	GO:0022625	GO:0005773	GO:0003735	GO:0002181	GO:0005634	GO:0009506	GO:0000325	GO:0009507	GO:0003729																																											
OQU90642	GO:0006355	GO:0048522	GO:0050793	GO:0009908	GO:0010604	GO:0005634	GO:0051239	GO:0008270																																												
EER93114	GO:0009507	GO:0006811																																																		
EER93113	GO:0000775	GO:0005634	GO:0000785	GO:0034088	GO:0003674	GO:0031390																																														
KXG37157	GO:0005685	GO:0006376	GO:0009567	GO:0005634	GO:0071004	GO:0003729																																														
EER93115	GO:0009507	GO:0009535	GO:0003729	GO:0005634	GO:0009579	GO:0019843	GO:0003735	GO:0006412	GO:0070181																																											
KXG37162	GO:0005886	GO:0005829	GO:0005794	GO:0005634	GO:0009506	GO:0009269	GO:0003674																																													
EER90539	GO:0005783	GO:0005634	GO:0030176	GO:0031204	GO:0009555	GO:0016020																																														
EER93116	GO:0009507	GO:0005634	GO:0008150	GO:0003674																																																
EER90540	GO:0044283	GO:0008104	GO:0005829	GO:0010015	GO:0005794	GO:0005768	GO:0040007	GO:0009506	GO:0009504	GO:0071702	GO:0071695	GO:0030154	GO:0009888	GO:0003924																																						
KXG37163	GO:0008150	GO:0005576	GO:0003674																																																	
OQU90646	GO:0003674	GO:0008150																																																		
EER90542	GO:0017183	GO:0005737	GO:0090560																																																	
OQU90650	GO:0000919	GO:0005515	GO:0045324	GO:0030139	GO:0048528	GO:0005737	GO:0009793	GO:0031267	GO:0016192	GO:0042546	GO:0005085	GO:0005829																																								
EER93118	GO:0008150	GO:0005739	GO:0003674																																																	
EER90543	GO:0005634	GO:0009507	GO:0006720	GO:0031324	GO:0009416	GO:0015994	GO:0016116	GO:0010035	GO:0016491	GO:0044281																																										
EER90544	GO:0006468	GO:0005634	GO:0005737	GO:0004674	GO:0005524	GO:0007165	GO:0005739																																													
EER90545	GO:0005747	GO:0009507	GO:0005739	GO:0000325	GO:0007005																																															
EER90546	GO:0005506	GO:0016020	GO:0016709	GO:0009507	GO:0020037																																															
EER93119	GO:0061617	GO:0005634	GO:0008150	GO:0005739	GO:0003674																																															
OQU90653	GO:0005506	GO:0016020	GO:0016709	GO:0009507	GO:0020037																																															
EER90549	GO:0022625	GO:0005829	GO:0005737																																																	
EER90550	GO:0022627	GO:0009536	GO:0003723	GO:0005737	GO:0022626	GO:0003735	GO:0006412	GO:0005730																																												
OQU90655	GO:0016567	GO:0003674	GO:0005634																																																	
EER93123	GO:0005576	GO:1901565	GO:0044248	GO:0003674	GO:0000325	GO:0009416	GO:0019752	GO:0005634	GO:0099503																																											
EER90554	GO:0009415	GO:0005737	GO:0098542	GO:0006468	GO:0044248	GO:0005886	GO:1901135	GO:0044281	GO:0004672	GO:0016310	GO:0098771	GO:0009611	GO:0009892																																							
EER93126	GO:0019748	GO:0005737	GO:0005794	GO:0005802	GO:1990961	GO:0005215	GO:0006790	GO:0042910	GO:0016020	GO:0015297	GO:0010073	GO:0022857																																								
EER90555	GO:0008681	GO:0016491	GO:0005739	GO:0016709	GO:0071949	GO:0006744																																														
EER90557	GO:0000325	GO:0061630	GO:0005886	GO:0005739	GO:0005634	GO:0005783																																														
OQU90659	GO:0005515	GO:0009506	GO:0006378	GO:0005634	GO:0035194	GO:0005737	GO:0005847	GO:0006398	GO:0003723	GO:0098789	GO:0009793	GO:0003677	GO:0006379																																							
EER90558	GO:0005829	GO:0042646	GO:0003690	GO:0009416	GO:0006355	GO:0009507																																														
KXG37177	GO:0010447	GO:0006355	GO:0005634	GO:0005515	GO:0010044	GO:0071453	GO:0071472	GO:0140110	GO:1900037	GO:0003700	GO:0043621	GO:0043565																																								
OQU90662	GO:0048544	GO:0004674	GO:0006468	GO:0005886	GO:0005516	GO:0005576																																														
OQU90661	GO:0042644	GO:0048027	GO:0005739	GO:0005515	GO:0042548	GO:0031426	GO:0009507	GO:0010239																																												
EER90561	GO:0007131	GO:0005634	GO:0099086	GO:0005515																																																
OQU90664	GO:0008150	GO:0003674	GO:0005737																																																	
EER93133	GO:0009435	GO:0004514	GO:0004516	GO:0034355	GO:0005829	GO:0005737																																														
KXG37182	GO:0006414	GO:0009409	GO:0005886	GO:0003924	GO:0009631	GO:0000325	GO:0009507	GO:0005829	GO:0003729	GO:0005737	GO:0003746	GO:1990904	GO:0005507	GO:0009506	GO:0005730	GO:0043022	GO:0005634																																			
KXG37183	GO:0006414	GO:0009409	GO:0005886	GO:0003924	GO:0009631	GO:0000325	GO:0009507	GO:0005829	GO:0003729	GO:0005737	GO:0003746	GO:1990904	GO:0005507	GO:0009506	GO:0005730	GO:0043022	GO:0005634																																			
KXG37185	GO:0006414	GO:0009409	GO:0005886	GO:0003924	GO:0009631	GO:0000325	GO:0009507	GO:0005829	GO:0003729	GO:0005737	GO:0003746	GO:1990904	GO:0005507	GO:0009506	GO:0005730	GO:0043022	GO:0005634																																			
EER93135	GO:0030244	GO:0009833	GO:0016759	GO:0005515	GO:0005794	GO:0010330	GO:0043622	GO:0016757	GO:0005887	GO:0016760	GO:0010005	GO:0005886	GO:0009825	GO:0009832																																						
EER93136	GO:0043531	GO:0005515	GO:0006952	GO:0005576																																																
EER90562	GO:0031087	GO:0005515	GO:0000932	GO:0008047	GO:0005737	GO:0005576	GO:0005634	GO:0000290	GO:0006952	GO:0042803	GO:0043085	GO:0003729																																								
OQU90668	GO:0009694	GO:0009753	GO:0009850	GO:0010112	GO:0010178	GO:0009507	GO:0016787	GO:1990206																																												
OQU90669	GO:0009850	GO:0009507	GO:0010178	GO:0016787																																																
OQU90670	GO:0008150	GO:0005634	GO:0005739	GO:0003674																																																
EER93140	GO:0003735	GO:0009536	GO:0005762	GO:0006412	GO:0005739																																															
EER93142	GO:0006430	GO:0009507	GO:0048481	GO:0004824	GO:0003729	GO:0005739	GO:0000049	GO:0005829																																												
KXG37189	GO:0003729	GO:0005829	GO:0009409	GO:0008270	GO:0005737	GO:0009631	GO:0005634	GO:0000166																																												
EER93143	GO:0005739	GO:0016705	GO:0004497	GO:0016132	GO:0020037	GO:0016125	GO:0005506	GO:0005576	GO:0010268	GO:0007275	GO:0016491																																									
EER90564	GO:0048767	GO:0048364	GO:0009733	GO:0009506	GO:0009941	GO:0008104	GO:0005829	GO:0009416	GO:0009570	GO:0005737	GO:0009611	GO:0005730	GO:0006893	GO:0009505	GO:0007010	GO:0051301	GO:0010053	GO:0005515	GO:0005856	GO:0009845	GO:0005200	GO:0005886	GO:0005739																													
EER93144	GO:0009055	GO:0009507	GO:0009536	GO:0043436	GO:0019748	GO:0010035																																														
KXG37190	GO:0008150	GO:0005634	GO:0003674																																																	
EER90565	GO:0005634	GO:0006869	GO:0000062	GO:0005829	GO:0005515	GO:0009723	GO:0009753	GO:0005737	GO:0009416																																											
KXG37193	GO:0005739	GO:0033539	GO:0005507	GO:1901361	GO:0019752	GO:0044248	GO:0050660	GO:0010035	GO:0009055	GO:1901565	GO:0005634																																									
OQU90673	GO:0045036	GO:0009707	GO:0009941	GO:0009536	GO:0061927	GO:0005515	GO:0005829	GO:0005634	GO:0045037	GO:0003924	GO:0004888	GO:0004930	GO:0009507																																							
EER93146	GO:0000132	GO:0005634	GO:0000913	GO:0003674	GO:0005739																																															
EER93147	GO:0030173	GO:0005789	GO:0003674	GO:0006888	GO:0030134	GO:0005793																																														
KXG37195	GO:0098542	GO:0009414	GO:0005634	GO:0003674																																																
OQU90677	GO:0048523	GO:0005634	GO:0003674																																																	
KXG37198	GO:0006355	GO:0005634	GO:0008270	GO:0048527	GO:0009416	GO:0000976	GO:0030154																																													
EER90567	GO:0009793	GO:0006417	GO:0005730	GO:0003723	GO:0005634	GO:0003729																																														
KXG37199	GO:0003674	GO:0005575	GO:0008150																																																	
EER90568	GO:0005886	GO:0016042																																																		
EER90573	GO:0006979	GO:0005737	GO:0005886	GO:0003674																																																
EER90575	GO:0006979	GO:0005737	GO:0005886	GO:0003674																																																
OQU90679	GO:0006979	GO:0005737	GO:0005886	GO:0003674																																																
EER93153	GO:0032968	GO:0034724	GO:0006368	GO:0035101	GO:0005730	GO:0010228	GO:0031491	GO:0005634	GO:0000791																																											
EER90578	GO:0004301	GO:0033961	GO:0009733	GO:0005634	GO:0009414	GO:0016787	GO:0005829	GO:0005777																																												
OQU90681	GO:0044264	GO:0098542	GO:0005777	GO:0009414	GO:0009611	GO:0007165	GO:0016787																																													
EER93154	GO:0005739	GO:0018773	GO:0005507	GO:0005829	GO:0043436	GO:0005737	GO:0010035																																													
KXG37207	GO:0030433	GO:0005634	GO:0005789	GO:0099503	GO:0034976	GO:0009507	GO:0051082	GO:0005783	GO:0009506	GO:0005509	GO:0005739	GO:0006457	GO:0000325	GO:0055074																																						
EER93155	GO:0043066	GO:0005829	GO:0044085	GO:0050821	GO:0005634																																															
EER90579	GO:0005515	GO:0009966	GO:0048589	GO:0051301	GO:0009733	GO:0017018																																														
EER90580	GO:0004519	GO:0016556	GO:0009507	GO:0008270	GO:0003729																																															
EER90581	GO:0048437	GO:0048523	GO:0003674	GO:0005634	GO:0048522	GO:0044085																																														
EER90582	GO:0004335	GO:0046835	GO:0006012	GO:0005829	GO:0005737																																															
KXG37209	GO:0016024	GO:0010143	GO:0016020	GO:0005739	GO:0004366	GO:0090447	GO:0016791	GO:0102420																																												
KXG37210	GO:0005737	GO:0005829	GO:0051087	GO:0051085	GO:0051082																																															
EER90584	GO:0050832	GO:0010015	GO:0006979	GO:0009751	GO:0009611	GO:0090558	GO:0006721	GO:0030154	GO:0007165	GO:0009753	GO:0042742	GO:0005507	GO:0005737	GO:0005576																																						
EER90585	GO:0030488	GO:0005634	GO:0009507	GO:0008175																																																
EER93157	GO:0003700	GO:0005634	GO:0006355	GO:0003677																																																
EER90586	GO:0046658	GO:0004553	GO:0005975																																																	
EER90587	GO:0044255	GO:0004650	GO:0005576	GO:0005975	GO:1901135	GO:0000325																																														
KXG37214	GO:0005737	GO:0047974	GO:0006152	GO:0008251	GO:0005829	GO:0005634	GO:0002100	GO:0005576	GO:0009536	GO:0008270																																										
OQU90686	GO:0010035	GO:0006970	GO:0003674	GO:0008610	GO:0009416	GO:0000325	GO:0009826																																													
EER90588	GO:0005634	GO:0017108	GO:0008409	GO:0048256	GO:0009411																																															
EER90590	GO:0009639	GO:0042742	GO:0009753	GO:0009755	GO:0006979	GO:1901701	GO:0048878	GO:0009414	GO:0043436	GO:0005576	GO:0009611	GO:0014070																																								
EER90591	GO:0005575	GO:0008150	GO:0003674																																																	
EER90592	GO:0009570	GO:0046394	GO:0008097	GO:0009416	GO:0005634	GO:0009507	GO:0009941	GO:0003735	GO:0006412																																											
EER90593	GO:0005739	GO:0003674	GO:0009507	GO:0008150																																																
OQU90687	GO:0009828	GO:1990059	GO:0071944	GO:0009845	GO:0005576	GO:0010047	GO:0071704	GO:0016985																																												
EER90595	GO:0015385	GO:0005451	GO:0006885	GO:0005770	GO:0012505	GO:0009507	GO:0015299	GO:0006812																																												
KXG37220	GO:0009570	GO:0000373	GO:0042254	GO:0009941	GO:0003729	GO:0009793	GO:0005634	GO:0003724	GO:0009658	GO:0009507	GO:0009651	GO:0003723	GO:0008270	GO:0006364	GO:0005737	GO:0009536																																				
KXG37223	GO:0006397	GO:0005730	GO:0010228	GO:0005634	GO:0005515	GO:0009793	GO:0000388	GO:0003724	GO:0005681																																											
EER90596	GO:0005576	GO:0006810	GO:0016021	GO:0005215																																																
